,0,1,2,3,4
10,2017-07-20,云角信息,30%,未透露,神州数码
11,2017-07-19,万达商业地产,未透露,438.44亿人民币,融创中国
12,2017-07-19,万达商业地产,未透露,199.06亿人民币,富力地产
13,2017-07-13,夸客金融,未透露,未透露,Huron River Ventures
14,2017-07-07,速递易,50%,13亿人民币,中邮资本(中国邮政)
0,2017-07-06,初见科技,73%,11.78亿人民币,天舟文化
1,2017-06-30,易到用车,67%,未透露,韬蕴资本
2,2017-06-30,宏投网络,49%,22.29亿人民币,中技控股
3,2017-06-29,简理财,55%,3亿人民币,Forgame云游控股
4,2017-06-22,银河互娱,49%,1.23亿人民币,金刚游戏
5,2017-06-15,立芯科技,100%,4.05亿人民币,东方网力
6,2017-06-13,DotC United,31%,22亿人民币,天神娱乐
7,2017-06-08,大连润德乾城,100%,32亿人民币,融创中国
8,2017-06-05,东芝中国,未透露,182亿美元,富士康
9,2017-06-04,君海游戏,38%,6.42亿人民币,卧龙地产
10,2017-06-02,捷通无限,69%,1.31亿人民币,天津贞元嘉富诚基金管理
11,2017-05-26,环球资源,100%,5.18亿美元,黑石集团Blackstone
12,2017-05-24,畅思广告,80%,5.28亿人民币,省广股份
13,2017-05-19,爱棋道,80%,数百万人民币,好未来(学而思)
14,2017-05-15,Play800沃势文化,100%,6亿人民币,汉鼎宇佑
0,2017-05-12,艾伦教育,100%,数千万人民币,广汇信创投
1,2017-05-04,出发吧,100%,数百万人民币,国瑞金泉
2,2017-04-26,思博特体育,51%,3750万人民币,莱茵体育
3,2017-04-18,首映时代文化,100%,13.5亿人民币,长城影视
4,2017-04-11,雅酷卡,100%,11亿人民币,51信用卡
5,2017-04-05,成蹊科技鱼丸游戏,100%,11亿人民币,三五互联
6,2017-04-01,豪腾嘉科Hortor,100%,数千万人民币,掌趣科技
7,2017-03-31,时空能源,100%,29亿人民币,群兴股份
8,2017-03-31,Hortor Games,100%,数千万人民币,掌趣科技
9,2017-03-24,嘉行传媒,10%,5亿人民币,完美世界
10,2017-03-24,卡乐互动,100%,53.3亿人民币,卧龙地产
11,2017-03-21,大麦网,100%,数亿人民币,阿里巴巴
12,2017-03-17,水木动画,33%,2.17亿人民币,东方网络(广陆数测)
13,2017-03-16,北京乐知行软件,100%,4.96亿人民币,科大讯飞
14,2017-03-15,炎龙科技,100%,16亿人民币,升华拜克
0,2017-03-14,红薯中文网,100%,数千万人民币,掌趣科技
1,2017-03-13,19pay一九付,100%,3亿人民币,滴滴出行
2,2017-03-09,LionMobi狮之吼,100%,数亿人民币,迅游网络
3,2017-03-08,灵动时空,100%,3.8亿人民币,宋城演艺
4,2017-03-07,财讯传媒,80%,8.8亿人民币,海航资本
5,2017-03-01,淘汽档口,100%,3亿人民币,京东
6,2017-02-27,桔子酒店,100%,36.5亿人民币,华住酒店集团
7,2017-02-23,墨鹍科技,68%,9.53亿人民币,三七互娱
8,2017-02-16,渡鸦科技RavenTech,100%,数千万美元,百度公司
9,2017-02-15,宁静海,100%,数千万人民币,UCWEB优视科技
10,2017-02-10,思妍丽,100%,数亿人民币,渣打银行
11,2017-01-25,北京趣酷科技,62%,11.16亿人民币,德力股份
12,2017-01-23,魅力惠,100%,数千万美元,阿里巴巴
13,2017-01-23,恐龙纺织,100%,数百万人民币,罗莱家纺
14,2017-01-20,辉源生物,100%,未透露,药明康德
0,2017-01-16,和辰信息,100%,2500万人民币,百姓网
1,2017-01-10,泰凌微电子,83%,18.61亿人民币,高鹏资本
2,2017-01-09,安瑞医疗,70%,2500万美元,康桥资本
3,2017-01-08,客脉,100%,数百万人民币,富海银涛
4,2017-01-06,盛大游戏,91%,数亿人民币,世纪华通
5,2017-01-06,德纳影业,100%,5.45亿人民币,长城影视
6,2017-01-03,唐人接,100%,数千万人民币,携程
7,2017-01-02,天天快递,70%,29.75亿人民币,苏宁
8,2016-12-30,新媒诚品,未透露,未透露,万达院线(万达影视)
9,2016-12-29,李叫兽受教科技,100%,数千万人民币,百度公司
10,2016-12-20,广通客车,未透露,未透露,中兴通讯
11,2016-12-20,深圳一芯智能,100%,6.66亿人民币,世纪鼎利
12,2016-12-16,闲徕互娱闲来麻将,51%,10.2亿人民币,昆仑万维
13,2016-12-16,北京爱迪国际学校,100%,29亿人民币,勤上光电
14,2016-12-15,口袋科技,51%,10.67亿人民币,天神娱乐
0,2016-12-13,葫芦侠,未透露,4.1亿人民币,文投控股
1,2016-12-13,烈酷游戏,54%,数千万人民币,网易
2,2016-12-08,同道大叔,73%,2.18亿人民币,美盛文化
3,2016-12-02,动力盈科,69%,3.74亿人民币,东方网力
4,2016-12-01,OmniVision豪威科技,100%,120亿人民币,北京君正
5,2016-12-01,视信源,100%,3.55亿人民币,北京君正
6,2016-12-01,思比科微电子,40%,2.66亿人民币,北京君正
7,2016-12-01,稻易大米,100%,数百万人民币,网易
8,2016-11-30,斯芬克,未透露,未透露,新东方
9,2016-11-22,图为媒,未透露,337万人民币,承泰科技
10,2016-11-17,快乐学,100%,数千万人民币,New York Times
11,2016-11-17,和美医疗,26%,13亿港元,泰康资产
12,2016-11-16,龙珠直播,100%,数亿人民币,苏宁
13,2016-11-10,小红帽教育,100%,8.7亿人民币,勤上光电
14,2016-11-09,追书神器,100%,数千万人民币,南方睿泰
0,2016-11-01,掌众金融Leyu Limited,48%,8亿人民币,网信集团
1,2016-10-28,恩智浦NXP,未透露,470亿美元,高通Qualcomm Ventures
2,2016-10-28,中农网,60%,26亿港元,卓尔集团
3,2016-10-27,灵娱网络,100%,13亿人民币,汉鼎宇佑
4,2016-10-24,海鸥假期,100%,数千万美元,携程
5,2016-10-24,纵横旅游,70%,数千万美元,携程
