,0,1,2,3,4
9,2017-07-26,InVisage Technologies量宏科技,未透露,未透露,Apple苹果
10,2017-07-25,WebMD Health,未透露,28亿人民币,KKR
11,2017-07-17,Formel D,未透露,5.6亿人民币,中信资本
12,2017-07-11,金瑞基金,100%,数亿人民币,中金公司
13,2017-07-10,Cloudyn,100%,数千万美元,微软Microsoft
14,2017-07-05,KITT.AI,100%,1亿人民币,百度公司
0,2017-07-04,JumpStart,100%,未透露,网龙网络(M Fund)
1,2017-07-03,Dendreon,100%,8.19亿美元,三胞集团
2,2017-06-27,SensoMotoric Instruments,未透露,未透露,Apple苹果
3,2017-06-22,Hourglass,未透露,未透露,联合利华
4,2017-06-22,Farfetch,127%,3.97亿美元,京东
5,2017-06-19,VRB,未透露,550万美元,Samsung Ventures三星
6,2017-06-19,SES-Imagotag,50%,未透露,京东方
7,2017-06-17,Bonobos,100%,3.1亿美元,沃尔玛WalMart
8,2017-06-16,全食超市WholeFoods Market,100%,137亿美元,Amazon亚马逊
9,2017-06-15,YAHOO雅虎,未透露,未透露,Verizon Ventures
10,2017-06-09,Boston Dynamics,未透露,未透露,SoftBank capital软银海外
11,2017-06-07,Grid Dynamics,100%,1.18亿美元,华胜天成
12,2017-06-06,TicketNew,80%,未透露,阿里影业(阿里巴巴)
13,2017-06-06,PDC Brands,未透露,15亿美元,CVC Capital Partners(CVC资本)
14,2017-05-31,Carriage,未透露,未透露,联创光电
0,2017-05-27,Grindr,38%,1.52亿美元,昆仑万维
1,2017-05-26,Multi Group,93%,5600万美元,500彩票网
2,2017-05-25,Hexadite,未透露,1亿美元,微软Microsoft
3,2017-05-15,Lattice Data,100%,2亿美元,Apple苹果
4,2017-05-02,Angie's List,100%,5亿美元,IAC
5,2017-04-19,Moat,未透露,未透露,甲骨文Oracle
6,2017-04-18,Wercker,未透露,未透露,甲骨文Oracle
7,2017-04-14,普洛斯GLP,未透露,790亿人民币,厚朴基金
8,2017-04-13,XPerception,100%,未透露,百度公司
9,2017-04-11,Deis,未透露,未透露,Knight Foundation
10,2017-03-28,库卡机器人KUKA,95%,292亿人民币,美的集团
11,2017-03-28,MightyTV,未透露,未透露,Spotify
12,2017-03-24,Souq,30%,6.5亿美元,Amazon亚马逊
13,2017-03-23,Breas,80%,9000万美元,复星医药
14,2017-03-17,ModCloth,100%,8000万美元,沃尔玛WalMart
0,2017-03-13,Harman哈曼国际,未透露,80亿美元,Samsung Ventures三星
1,2017-03-13,Mobileye,100%,153亿美元,英特尔投资Intel Capital
2,2017-03-10,Jelly,未透露,未透露,Pinterest
3,2017-03-09,Nimble Storage,未透露,10亿美元,惠普
4,2017-03-08,Kaggle,未透露,未透露,Google谷歌
5,2017-03-02,NoWait,未透露,4000万美元,Yelp
6,2017-03-01,LightCyber,未透露,1.05亿美元,Palo Alto Networks
7,2017-02-27,Moosejaw,未透露,5100万美元,沃尔玛WalMart
8,2017-02-23,MakieLab,未透露,未透露,The Walt Disney Company迪士尼
9,2017-02-23,TripScope,未透露,未透露,Travefy
10,2017-02-20,RealFace,未透露,200万美元,Apple苹果
11,2017-02-20,Argo AI,未透露,10亿美元,Ford福特汽车
12,2017-02-17,Skyward,未透露,未透露,Verizon Ventures
13,2017-02-17,Wheel,未透露,未透露,Tinder
14,2017-02-17,Cloudreach,未透露,未透露,黑石集团Blackstone
0,2017-02-15,Travelopia,未透露,未透露,KKR
1,2017-02-14,Servotronix,50%,未透露,美的集团
2,2017-02-09,momondo,未透露,5.5亿美元,Priceline
3,2017-02-09,Accelya,未透露,6.5亿欧元,华平投资
